file,rts,date
rt_2013_12_30.langfilt.gml,1441,2013-12-30
rt_2014_2_12.langfilt.gml,6479,2014-02-12
rt_2013_12_20.langfilt.gml,1138,2013-12-20
rt_2014_1_26.langfilt.gml,11422,2014-01-26
rt_2014_1_31.langfilt.gml,4479,2014-01-31
rt_2014_1_1.langfilt.gml,675,2014-01-01
rt_2014_1_14.langfilt.gml,959,2014-01-14
rt_2014_2_25.langfilt.gml,22646,2014-02-25
rt_2013_12_25.langfilt.gml,2109,2013-12-25
rt_2014_2_2.langfilt.gml,3043,2014-02-02
rt_2013_12_17.langfilt.gml,2494,2013-12-17
rt_2014_2_22.langfilt.gml,57441,2014-02-22
rt_2014_1_8.langfilt.gml,629,2014-01-08
rt_2013_12_5.langfilt.gml,3108,2013-12-05
rt_2014_2_7.langfilt.gml,2423,2014-02-07
rt_2013_12_22.langfilt.gml,1028,2013-12-22
rt_2013_12_26.langfilt.gml,1775,2013-12-26
rt_2013_12_1.langfilt.gml,11075,2013-12-01
rt_2013_11_27.langfilt.gml,1240,2013-11-27
rt_2014_1_12.langfilt.gml,1705,2014-01-12
rt_2014_2_1.langfilt.gml,3838,2014-02-01
rt_2013_12_7.langfilt.gml,2656,2013-12-07
rt_2014_2_16.langfilt.gml,8210,2014-02-16
rt_2013_11_26.langfilt.gml,1398,2013-11-26
rt_2014_1_3.langfilt.gml,1077,2014-01-03
rt_2014_1_13.langfilt.gml,979,2014-01-13
rt_2014_1_30.langfilt.gml,6692,2014-01-30
rt_2014_1_16.langfilt.gml,2537,2014-01-16
rt_2013_12_14.langfilt.gml,3690,2013-12-14
rt_2014_1_27.langfilt.gml,9685,2014-01-27
rt_2014_1_11.langfilt.gml,1517,2014-01-11
rt_2014_2_19.langfilt.gml,46656,2014-02-19
rt_2013_12_3.langfilt.gml,5636,2013-12-03
rt_2014_1_10.langfilt.gml,1210,2014-01-10
rt_2014_1_17.langfilt.gml,2366,2014-01-17
rt_2013_12_16.langfilt.gml,2867,2013-12-16
rt_2014_1_28.langfilt.gml,6461,2014-01-28
rt_2014_1_4.langfilt.gml,1274,2014-01-04
rt_2013_11_30.langfilt.gml,4795,2013-11-30
rt_2013_12_21.langfilt.gml,1620,2013-12-21
rt_2013_11_25.langfilt.gml,614,2013-11-25
rt_2013_12_18.langfilt.gml,2075,2013-12-18
rt_2014_2_15.langfilt.gml,7424,2014-02-15
rt_2014_2_8.langfilt.gml,8179,2014-02-08
rt_2013_12_24.langfilt.gml,1380,2013-12-24
rt_2013_12_10.langfilt.gml,4042,2013-12-10
rt_2014_2_5.langfilt.gml,61,2014-02-05
rt_2013_12_19.langfilt.gml,1244,2013-12-19
rt_2014_2_20.langfilt.gml,67658,2014-02-20
rt_2013_12_2.langfilt.gml,5048,2013-12-02
rt_2014_1_20.langfilt.gml,11040,2014-01-20
rt_2014_2_4.langfilt.gml,1704,2014-02-04
rt_2013_12_23.langfilt.gml,1653,2013-12-23
rt_2014_1_6.langfilt.gml,786,2014-01-06
rt_2014_2_26.langfilt.gml,27177,2014-02-26
rt_2014_1_18.langfilt.gml,1969,2014-01-18
rt_2014_1_2.langfilt.gml,856,2014-01-02
rt_2013_12_9.langfilt.gml,6335,2013-12-09
rt_2013_12_6.langfilt.gml,2628,2013-12-06
rt_2014_1_5.langfilt.gml,958,2014-01-05
rt_2014_2_9.langfilt.gml,8982,2014-02-09
rt_2014_2_14.langfilt.gml,6084,2014-02-14
rt_2013_12_12.langfilt.gml,4316,2013-12-12
rt_2013_12_31.langfilt.gml,915,2013-12-31
rt_2014_2_23.langfilt.gml,37322,2014-02-23
rt_2014_2_17.langfilt.gml,6452,2014-02-17
rt_2013_12_4.langfilt.gml,4818,2013-12-04
rt_2013_12_29.langfilt.gml,1444,2013-12-29
rt_2014_2_18.langfilt.gml,53848,2014-02-18
rt_2014_2_24.langfilt.gml,35878,2014-02-24
rt_2014_2_10.langfilt.gml,7187,2014-02-10
rt_2013_12_11.langfilt.gml,10431,2013-12-11
rt_2014_2_3.langfilt.gml,591,2014-02-03
rt_2013_12_28.langfilt.gml,1131,2013-12-28
rt_2013_11_29.langfilt.gml,1850,2013-11-29
rt_2014_1_19.langfilt.gml,7448,2014-01-19
rt_2014_2_11.langfilt.gml,6748,2014-02-11
rt_2014_2_6.langfilt.gml,1483,2014-02-06
rt_2014_2_27.langfilt.gml,33173,2014-02-27
rt_2013_11_28.langfilt.gml,3175,2013-11-28
rt_2014_1_23.langfilt.gml,11304,2014-01-23
rt_2013_12_8.langfilt.gml,4205,2013-12-08
rt_2014_2_13.langfilt.gml,5763,2014-02-13
rt_2014_1_29.langfilt.gml,4442,2014-01-29
rt_2014_1_9.langfilt.gml,562,2014-01-09
rt_2013_12_15.langfilt.gml,2970,2013-12-15
rt_2014_2_28.langfilt.gml,45641,2014-02-28
rt_2013_12_27.langfilt.gml,1352,2013-12-27
rt_2014_1_21.langfilt.gml,7398,2014-01-21
rt_2014_1_22.langfilt.gml,12287,2014-01-22
rt_2014_2_21.langfilt.gml,47754,2014-02-21
rt_2014_1_15.langfilt.gml,1460,2014-01-15
rt_2013_12_13.langfilt.gml,4240,2013-12-13
rt_2014_1_24.langfilt.gml,10956,2014-01-24
rt_2014_1_7.langfilt.gml,620,2014-01-07
rt_2014_1_25.langfilt.gml,10979,2014-01-25
